2026-05-06 03:54:58,B1,Water,1.00
2026-05-06 04:08:21,C3,Gum,0.50
2026-05-06 04:40:14,B1,Water,1.00
2026-05-06 04:40:39,A1,Chips,1.50
2026-05-06 04:42:24,B1,Water,1.00
2026-05-06 04:48:34,A2,Candy,0.75
2026-05-06 04:51:10,B1,Water,1.00
2026-05-08 01:56:20,A1,Chips,1.50
2026-05-08 01:57:58,A1,Chips,1.50
2026-05-08 01:59:00,A1,Chips,1.50
2026-05-08 02:04:45,A1,Chips,1.50
2026-05-08 02:06:02,B1,Water,1.00
2026-05-08 02:06:19,A2,Candy,0.75
2026-05-08 02:06:39,A1,Chips,1.50
2026-05-08 02:13:25,A1,Chips,1.50
2026-05-08 02:15:39,A1,Chips,1.50
2026-05-08 02:16:09,A2,Candy,0.75
2026-05-08 02:24:06,A1,Chips,1.50
2026-05-08 02:24:51,A2,Candy,0.75
